Manga Index,SA Rating,ANN Rating,MR Rating,Manganelo Views,Total Comments
Death Note (manga),5.137931034482759,8.85,4.8,11.7K,58
Naruto (manga),6.176100628930818,8.1,4.5,86K,159
Bleach (manga),5.877862595419847,8.11,4.7,140.6K,393
Fullmetal Alchemist (manga),7.117647058823529,8.93,4.8,13.9K,34
Fruits Basket (manga),6.938775510204081,8.71,4.7,17.5K,49
Berserk (manga),6.5601631543167915,9.28,4.8,110.1K,1471
One Piece (manga),5.69009009009009,8.67,4.6,289.8K,555
Love Hina (manga),6.375,8.3,4.7,7.1K,16
Rurouni Kenshin (manga),6.095238095238095,8.79,4.9,11K,21
Chobits (manga),5.8,7.98,4.7,2.2K,10
Azumanga Daioh (manga),6.916666666666667,8.63,4.5,2.2K,24
Monster (manga),5.518052057094878,8.53,4.6,119K,1191
"Tsubasa, RESERVoir CHRoNiCLE (manga)",5.625,8.35,4.7,1.7K,16
Yotsuba&! (manga),6.845070422535211,8.88,4.8,12.4K,71
Dragon Ball (manga),6.074074074074074,8.0,4.6,27.7K,27
Hellsing (manga),7.142857142857143,8.44,4.8,3.6K,14
GTO (manga),7.162790697674419,8.78,4.7,18.3K,43
Inuyasha (manga),7.470588235294118,7.43,4.7,16K,34
Negima! Magister Negi Magi (manga),5.7727272727272725,8.32,4.7,15.5K,44
Claymore (manga),6.928571428571429,8.61,4.8,24.8K,112
Gantz (manga),6.4774774774774775,8.47,4.7,59.8K,222
Ouran High School Host Club (manga),6.0476190476190474,8.54,4.8,10.4K,42
xxxHOLiC (manga),6.888888888888889,8.38,4.7,3.9K,9
Cardcaptor Sakura (manga),6.0,8.28,4.7,5.5K,11
20th Century Boys (manga),6.945454545454545,8.63,4.7,17.9K,55
Akira (manga),5.918181818181818,8.7,4.7,60.5K,440
Vampire Knight (manga),4.775757575757575,8.09,4.0,14.1K,165
Absolute Boyfriend (manga),5.868852459016393,7.55,4.8,6.5K,244
Hana-Kimi (manga),6.625,8.42,4.7,4.9K,80
D.Gray-man (manga),5.6239316239316235,8.24,4.8,26.9K,117
Hunter × Hunter (manga),5.948667324777888,8.79,4.4,129K,2026
Kare Kano (manga),5.812865497076023,8.36,4.3,34.6K,342
Hikaru no Go (manga),5.177914110429448,8.26,4.6,37.1K,163
Fairy Tail (manga),5.448028673835125,8.1,4.7,64.6K,279
NANA (manga),5.56,8.66,4.7,119.1K,600
Neon Genesis Evangelion (manga),6.0,8.28,4.6,7.1K,28
D.N.Angel (manga),5.589958158995816,7.76,4.6,32.6K,239
Battle Angel Alita (manga),6.076923076923077,8.61,4.7,5.4K,26
Black Cat (manga by K. Yabuki),6.5,7.91,4.7,4K,8
Elfen Lied (manga),6.375,8.26,4.6,7.1K,32
Strawberry 100% (manga),6.558139534883721,8.26,4.4,5.5K,43
Angel Sanctuary (manga),4.8,8.25,4.7,784,5
Genshiken (manga),6.0,8.65,4.6,2K,5
Trigun (manga),4.8,7.92,4.7,2.6K,5
Full Moon O Sagashite (manga),10.0,8.19,4.6,668,2
Skip Beat! (manga),6.350710900473934,8.88,4.8,33.3K,211
Vagabond (manga),5.772594752186589,9.05,4.8,81K,343
Chrono Crusade (manga),10.0,8.32,4.8,994,1
Fushigi Yûgi (manga),8.0,7.84,4.6,1.1K,3
YuYu Hakusho (manga),5.733333333333333,7.78,4.7,7.5K,30
FLCL (manga),6.285714285714286,6.92,4.8,513,7
Rosario + Vampire (manga),7.0625,7.93,4.8,11.5K,32
Blade of the Immortal (manga),6.75,8.6,4.7,2K,24
Shaman King (manga),6.051282051282051,7.45,4.6,17.5K,39
Bitter Virgin (manga),7.0,8.46,4.6,1.5K,16
Magic Knight Rayearth (manga),5.0,7.46,4.6,309,4
Sailor Moon (manga),6.0,7.85,4.6,2.1K,9
I''s (manga),5.341670835417709,8.28,4.8,713.2K,1999
Alice 19th (manga),7.333333333333333,7.37,4.9,400,3
.hack//Legend of the Twilight (manga),2.0,7.16,4.2,335,1
Battle Royale (manga),6.170212765957447,7.89,4.0,9.1K,94
Yokohama Kaidashi Kikou (manga),8.363636363636363,7.96,4.9,2.4K,11
Oh My Goddess! (manga),8.0,7.8,4.6,4.9K,12
Mars (manga),5.461187214611872,8.41,4.4,31.7K,219

Bakuman. (manga),8.166666666666666,8.61,4.8,9.3K,24
School Rumble (manga),7.857142857142857,8.12,4.8,734,14
Paradise Kiss (manga),5.0,8.36,4.3,2.9K,4
Air Gear (manga),6.275862068965517,7.81,4.8,15.3K,145
Pluto (manga),5.89517819706499,8.83,4.7,111.9K,1431
Maison Ikkoku (manga),7.0,8.58,4.8,2K,4
Welcome to the N.H.K. (manga),6.032520325203252,8.33,4.8,18.3K,123
Slam Dunk (manga),6.840579710144928,8.68,4.8,25.6K,69
Case Closed (manga),5.875647668393782,8.06,4.6,51.6K,193
Marmalade Boy (manga),6.571428571428571,7.9,4.4,1.2K,7
Kodocha - Sana's Stage (manga),7.142857142857143,8.44,4.6,1.7K,7
Midori's Days (manga),6.75,8.05,4.8,2K,16
Hot Gimmick (manga),6.0,7.46,4.3,1.4K,14
Chibi Vampire (manga by Y. Kagesaki),8.6,7.91,4.6,2.4K,10
Imadoki! Nowadays (manga),6.0,7.69,4.8,406,1
Uzumaki (manga),5.6976744186046515,8.1,4.6,9.4K,86
Future Diary (manga),5.538461538461538,8.21,4.6,4.1K,13
Yu-Gi-Oh! (manga),5.11219512195122,6.48,4.3,12.2K,205
Soul Eater (manga),6.791666666666667,8.3,4.7,17.8K,48
